sample_accession	secondary_sample_accession	run_accession
SAMEA4719026	ERS2539171	ERR2624028
SAMEA4719027	ERS2539172	ERR2624029
SAMEA4719028	ERS2539173	ERR2624030
SAMEA4719029	ERS2539174	ERR2624031
SAMEA4719030	ERS2539175	ERR2624032
SAMEA4719031	ERS2539176	ERR2624033
SAMEA4719032	ERS2539177	ERR2624034
SAMEA4719033	ERS2539178	ERR2624035
SAMEA4719034	ERS2539179	ERR2624036
SAMEA4719035	ERS2539180	ERR2624037
SAMEA4719036	ERS2539181	ERR2624038
SAMEA4719037	ERS2539182	ERR2624039
SAMEA4719038	ERS2539183	ERR2624040
SAMEA4719039	ERS2539184	ERR2624041
SAMEA4719040	ERS2539185	ERR2624042
SAMEA4719041	ERS2539186	ERR2624043
SAMEA4719042	ERS2539187	ERR2624044
SAMEA4719043	ERS2539188	ERR2624045
SAMEA4719044	ERS2539189	ERR2624046
SAMEA4719045	ERS2539190	ERR2624047
SAMEA4719046	ERS2539191	ERR2624048
SAMEA4719047	ERS2539192	ERR2624049
SAMEA4719049	ERS2539194	ERR2624051
SAMEA4719050	ERS2539195	ERR2624052
SAMEA4719051	ERS2539196	ERR2624053
SAMEA4719052	ERS2539197	ERR2624054
SAMEA4719053	ERS2539198	ERR2624055
SAMEA4719054	ERS2539199	ERR2624056
SAMEA4719055	ERS2539200	ERR2624057
SAMEA4719056	ERS2539201	ERR2624058
SAMEA4719057	ERS2539202	ERR2624059
SAMEA4719058	ERS2539203	ERR2624060
SAMEA4719059	ERS2539204	ERR2624061
SAMEA4719060	ERS2539205	ERR2624062
SAMEA4719061	ERS2539206	ERR2624063
SAMEA4719062	ERS2539207	ERR2624064
SAMEA4719063	ERS2539208	ERR2624065
SAMEA4719064	ERS2539209	ERR2624066
SAMEA4719065	ERS2539210	ERR2624067
SAMEA4719066	ERS2539211	ERR2624068
SAMEA4719067	ERS2539212	ERR2624069
SAMEA4719068	ERS2539213	ERR2624070
SAMEA4719069	ERS2539214	ERR2624071
SAMEA4719070	ERS2539215	ERR2624072
SAMEA4719071	ERS2539216	ERR2624073
SAMEA4719072	ERS2539217	ERR2624074
SAMEA4719073	ERS2539218	ERR2624075
SAMEA4719074	ERS2539219	ERR2624076
SAMEA4719075	ERS2539220	ERR2624077
SAMEA4719076	ERS2539221	ERR2624078
SAMEA4719077	ERS2539222	ERR2624079
SAMEA4719078	ERS2539223	ERR2624080
SAMEA4719079	ERS2539224	ERR2624081
SAMEA4719080	ERS2539225	ERR2624082
SAMEA4719081	ERS2539226	ERR2624083
SAMEA4719082	ERS2539227	ERR2624084
SAMEA4719083	ERS2539228	ERR2624085
SAMEA4719084	ERS2539229	ERR2624086
SAMEA4719085	ERS2539230	ERR2624087
SAMEA4719086	ERS2539231	ERR2624088
SAMEA4719087	ERS2539232	ERR2624089
SAMEA4718452	ERS2538598	ERR2651393
SAMEA4718453	ERS2538599	ERR2651394
SAMEA4718454	ERS2538600	ERR2651395
SAMEA4718455	ERS2538601	ERR2651396
SAMEA4718456	ERS2538602	ERR2651397
SAMEA4718457	ERS2538603	ERR2651398
SAMEA4718458	ERS2538604	ERR2651399
SAMEA4718459	ERS2538605	ERR2651400
SAMEA4718460	ERS2538606	ERR2651401
SAMEA4718461	ERS2538607	ERR2651402
SAMEA4718462	ERS2538608	ERR2651403
SAMEA4718463	ERS2538609	ERR2651404
SAMEA4718464	ERS2538610	ERR2651405
SAMEA4718465	ERS2538611	ERR2651406
SAMEA4718466	ERS2538612	ERR2651407
SAMEA4718467	ERS2538613	ERR2651408
SAMEA4718468	ERS2538614	ERR2651409
SAMEA4718469	ERS2538615	ERR2651410
SAMEA4718470	ERS2538616	ERR2651411
SAMEA4718471	ERS2538617	ERR2651412
SAMEA4718472	ERS2538618	ERR2651413
SAMEA4718473	ERS2538619	ERR2651414
SAMEA4718474	ERS2538620	ERR2651415
SAMEA4718475	ERS2538621	ERR2651416
SAMEA4718476	ERS2538622	ERR2651417
SAMEA4718477	ERS2538623	ERR2651418
SAMEA4718478	ERS2538624	ERR2651419
SAMEA4718479	ERS2538625	ERR2651420
SAMEA4718480	ERS2538626	ERR2651421
SAMEA4718481	ERS2538627	ERR2651422
SAMEA4718482	ERS2538628	ERR2651423
SAMEA4718483	ERS2538629	ERR2651424
SAMEA4718484	ERS2538630	ERR2651425
SAMEA4718485	ERS2538631	ERR2651426
SAMEA4718486	ERS2538632	ERR2651427
SAMEA4718487	ERS2538633	ERR2651428
SAMEA4718488	ERS2538634	ERR2651429
SAMEA4718489	ERS2538635	ERR2651430
SAMEA4718490	ERS2538636	ERR2651431
SAMEA4718491	ERS2538637	ERR2651432
SAMEA4718492	ERS2538638	ERR2651433
SAMEA4718493	ERS2538639	ERR2651434
SAMEA4718494	ERS2538640	ERR2651435
SAMEA4718495	ERS2538641	ERR2651436
SAMEA4718497	ERS2538643	ERR2651437
SAMEA4718498	ERS2538644	ERR2651438
SAMEA4718499	ERS2538645	ERR2651439
SAMEA4718500	ERS2538646	ERR2651440
SAMEA4718502	ERS2538648	ERR2651441
SAMEA4718503	ERS2538649	ERR2651442
SAMEA4718504	ERS2538650	ERR2651443
SAMEA4718505	ERS2538651	ERR2651444
SAMEA4718506	ERS2538652	ERR2651445
SAMEA4718507	ERS2538653	ERR2651446
SAMEA4718508	ERS2538654	ERR2651447
SAMEA4718509	ERS2538655	ERR2651448
SAMEA4718510	ERS2538656	ERR2651449
SAMEA4718511	ERS2538657	ERR2651450
SAMEA4718512	ERS2538658	ERR2651451
SAMEA4718513	ERS2538659	ERR2651452
SAMEA4718514	ERS2538660	ERR2651453
SAMEA4718515	ERS2538661	ERR2651454
SAMEA4718516	ERS2538662	ERR2651455
SAMEA4718517	ERS2538663	ERR2651456
SAMEA4718518	ERS2538664	ERR2651457
SAMEA4718519	ERS2538665	ERR2651458
SAMEA4718520	ERS2538666	ERR2651459
SAMEA4718521	ERS2538667	ERR2651460
SAMEA4718522	ERS2538668	ERR2651461
SAMEA4718523	ERS2538669	ERR2651462
SAMEA4718524	ERS2538670	ERR2651463
SAMEA4718525	ERS2538671	ERR2651464
SAMEA4718526	ERS2538672	ERR2651465
SAMEA4718527	ERS2538673	ERR2651466
SAMEA4718528	ERS2538674	ERR2651467
SAMEA4718529	ERS2538675	ERR2651468
SAMEA4718530	ERS2538676	ERR2651469
SAMEA4718531	ERS2538677	ERR2651470
SAMEA4718532	ERS2538678	ERR2651471
SAMEA4718533	ERS2538679	ERR2651472
SAMEA4718534	ERS2538680	ERR2651473
SAMEA4718535	ERS2538681	ERR2651474
SAMEA4718536	ERS2538682	ERR2651475
SAMEA4718537	ERS2538683	ERR2651476
SAMEA4718538	ERS2538684	ERR2651477
SAMEA4718539	ERS2538685	ERR2651478
SAMEA4718540	ERS2538686	ERR2651479
SAMEA4718541	ERS2538687	ERR2651480
SAMEA4718542	ERS2538688	ERR2651481
SAMEA4718543	ERS2538689	ERR2651482
SAMEA4718544	ERS2538690	ERR2651483
SAMEA4718545	ERS2538691	ERR2651484
SAMEA4718546	ERS2538692	ERR2651485
SAMEA4718547	ERS2538693	ERR2651486
SAMEA4718548	ERS2538694	ERR2651487
SAMEA4718549	ERS2538695	ERR2651488
SAMEA4718550	ERS2538696	ERR2651489
SAMEA4718551	ERS2538697	ERR2651490
SAMEA4718552	ERS2538698	ERR2651491
SAMEA4718553	ERS2538699	ERR2651492
SAMEA4718554	ERS2538700	ERR2651493
SAMEA4718555	ERS2538701	ERR2651494
SAMEA4718556	ERS2538702	ERR2651495
SAMEA4718557	ERS2538703	ERR2651496
SAMEA4718558	ERS2538704	ERR2651497
SAMEA4718559	ERS2538705	ERR2651498
SAMEA4718560	ERS2538706	ERR2651499
SAMEA4718561	ERS2538707	ERR2651500
SAMEA4718562	ERS2538708	ERR2651501
SAMEA4718563	ERS2538709	ERR2651502
SAMEA4718564	ERS2538710	ERR2651503
SAMEA4718565	ERS2538711	ERR2651504
SAMEA4718566	ERS2538712	ERR2651505
SAMEA4718567	ERS2538713	ERR2651506
SAMEA4718568	ERS2538714	ERR2651507
SAMEA4718569	ERS2538715	ERR2651508
SAMEA4718570	ERS2538716	ERR2651509
SAMEA4718571	ERS2538717	ERR2651510
SAMEA4718572	ERS2538718	ERR2651511
SAMEA4718573	ERS2538719	ERR2651512
SAMEA4718574	ERS2538720	ERR2651513
SAMEA4718575	ERS2538721	ERR2651514
SAMEA4718576	ERS2538722	ERR2651515
SAMEA4718577	ERS2538723	ERR2651516
SAMEA4718578	ERS2538724	ERR2651517
SAMEA4718579	ERS2538725	ERR2651518
SAMEA4718580	ERS2538726	ERR2651519
SAMEA4718581	ERS2538727	ERR2651520
SAMEA4718582	ERS2538728	ERR2651521
SAMEA4718583	ERS2538729	ERR2651522
SAMEA4718584	ERS2538730	ERR2651523
SAMEA4718585	ERS2538731	ERR2651524
SAMEA4718586	ERS2538732	ERR2651525
SAMEA4718587	ERS2538733	ERR2651526
