sample_accession	secondary_sample_accession	run_accession
SAMEA4718020	ERS2538166	ERR2623159
SAMEA4718021	ERS2538167	ERR2623160
SAMEA4718022	ERS2538168	ERR2623161
SAMEA4718023	ERS2538169	ERR2623162
SAMEA4718024	ERS2538170	ERR2623163
SAMEA4718025	ERS2538171	ERR2623164
SAMEA4718026	ERS2538172	ERR2623165
SAMEA4718027	ERS2538173	ERR2623166
SAMEA4718028	ERS2538174	ERR2623167
SAMEA4718029	ERS2538175	ERR2623168
SAMEA4718030	ERS2538176	ERR2623169
SAMEA4718031	ERS2538177	ERR2623170
SAMEA4718032	ERS2538178	ERR2623171
SAMEA4718033	ERS2538179	ERR2623172
SAMEA4718034	ERS2538180	ERR2623173
SAMEA4718035	ERS2538181	ERR2623174
SAMEA4718036	ERS2538182	ERR2623175
SAMEA4718037	ERS2538183	ERR2623176
SAMEA4718038	ERS2538184	ERR2623177
SAMEA4718039	ERS2538185	ERR2623178
SAMEA4718040	ERS2538186	ERR2623179
SAMEA4718041	ERS2538187	ERR2623180
SAMEA4718042	ERS2538188	ERR2623181
SAMEA4718043	ERS2538189	ERR2623182
SAMEA4718044	ERS2538190	ERR2623183
SAMEA4718045	ERS2538191	ERR2623184
SAMEA4718046	ERS2538192	ERR2623185
SAMEA4718047	ERS2538193	ERR2623186
SAMEA4718048	ERS2538194	ERR2623187
SAMEA4718049	ERS2538195	ERR2623188
SAMEA4718050	ERS2538196	ERR2623189
SAMEA4718051	ERS2538197	ERR2623190
SAMEA4718052	ERS2538198	ERR2623191
SAMEA4718053	ERS2538199	ERR2623192
SAMEA4718054	ERS2538200	ERR2623193
SAMEA4718055	ERS2538201	ERR2623194
SAMEA4718056	ERS2538202	ERR2623195
SAMEA4718057	ERS2538203	ERR2623196
SAMEA4718058	ERS2538204	ERR2623197
SAMEA4718059	ERS2538205	ERR2623198
SAMEA4718060	ERS2538206	ERR2623199
SAMEA4718061	ERS2538207	ERR2623200
SAMEA4718062	ERS2538208	ERR2623201
SAMEA4718063	ERS2538209	ERR2623202
SAMEA4718064	ERS2538210	ERR2623203
SAMEA4718065	ERS2538211	ERR2623204
SAMEA4718066	ERS2538212	ERR2623205
SAMEA4718067	ERS2538213	ERR2623206
SAMEA4718068	ERS2538214	ERR2623207
SAMEA4718069	ERS2538215	ERR2623208
SAMEA4718070	ERS2538216	ERR2623209
SAMEA4718071	ERS2538217	ERR2623210
SAMEA4718072	ERS2538218	ERR2623211
SAMEA4718073	ERS2538219	ERR2623212
SAMEA4718074	ERS2538220	ERR2623213
SAMEA4718075	ERS2538221	ERR2623214
SAMEA4718076	ERS2538222	ERR2623215
SAMEA4718077	ERS2538223	ERR2623216
SAMEA4718078	ERS2538224	ERR2623217
SAMEA4718079	ERS2538225	ERR2623218
SAMEA4718080	ERS2538226	ERR2623219
SAMEA4718081	ERS2538227	ERR2623220
SAMEA4718082	ERS2538228	ERR2623221
SAMEA4718083	ERS2538229	ERR2623222
SAMEA4718084	ERS2538230	ERR2623223
SAMEA4718085	ERS2538231	ERR2623224
SAMEA4718086	ERS2538232	ERR2623225
SAMEA4718087	ERS2538233	ERR2623226
SAMEA4718088	ERS2538234	ERR2623227
SAMEA4718089	ERS2538235	ERR2623228
SAMEA4718090	ERS2538236	ERR2623229
SAMEA4718091	ERS2538237	ERR2623230
SAMEA4718092	ERS2538238	ERR2623231
SAMEA4718093	ERS2538239	ERR2623232
SAMEA4718094	ERS2538240	ERR2623233
SAMEA4718095	ERS2538241	ERR2623234
SAMEA4718096	ERS2538242	ERR2623235
SAMEA4718097	ERS2538243	ERR2623236
SAMEA4718098	ERS2538244	ERR2623237
SAMEA4718099	ERS2538245	ERR2623238
SAMEA4718100	ERS2538246	ERR2623239
SAMEA4718101	ERS2538247	ERR2623240
SAMEA4718102	ERS2538248	ERR2623241
SAMEA4718103	ERS2538249	ERR2623242
SAMEA4718104	ERS2538250	ERR2623243
SAMEA4718105	ERS2538251	ERR2623244
SAMEA4718106	ERS2538252	ERR2623245
SAMEA4718107	ERS2538253	ERR2623246
SAMEA4718108	ERS2538254	ERR2623247
SAMEA4718109	ERS2538255	ERR2623248
SAMEA4718110	ERS2538256	ERR2623249
SAMEA4718111	ERS2538257	ERR2623250
SAMEA4718112	ERS2538258	ERR2623251
SAMEA4718113	ERS2538259	ERR2623252
SAMEA4718114	ERS2538260	ERR2623253
SAMEA4718115	ERS2538261	ERR2623254
SAMEA4718116	ERS2538262	ERR2623255
SAMEA4718117	ERS2538263	ERR2623256
SAMEA4718118	ERS2538264	ERR2623257
SAMEA4718119	ERS2538265	ERR2623258
SAMEA4718120	ERS2538266	ERR2623259
SAMEA4718121	ERS2538267	ERR2623260
SAMEA4718122	ERS2538268	ERR2623261
SAMEA4718123	ERS2538269	ERR2623262
SAMEA4718124	ERS2538270	ERR2623263
SAMEA4718125	ERS2538271	ERR2623264
SAMEA4718126	ERS2538272	ERR2623265
SAMEA4718127	ERS2538273	ERR2623266
SAMEA4718128	ERS2538274	ERR2623267
SAMEA4718129	ERS2538275	ERR2623268
SAMEA4718130	ERS2538276	ERR2623269
SAMEA4718131	ERS2538277	ERR2623270
SAMEA4718132	ERS2538278	ERR2623271
SAMEA4718133	ERS2538279	ERR2623272
SAMEA4718134	ERS2538280	ERR2623273
SAMEA4718135	ERS2538281	ERR2623274
SAMEA4718136	ERS2538282	ERR2623275
SAMEA4718137	ERS2538283	ERR2623276
SAMEA4718138	ERS2538284	ERR2623277
SAMEA4718139	ERS2538285	ERR2623278
SAMEA4718140	ERS2538286	ERR2623279
SAMEA4718141	ERS2538287	ERR2623280
SAMEA4718142	ERS2538288	ERR2623281
SAMEA4718143	ERS2538289	ERR2623282
SAMEA4718144	ERS2538290	ERR2623283
SAMEA4718145	ERS2538291	ERR2623284
SAMEA4718146	ERS2538292	ERR2623285
SAMEA4718147	ERS2538293	ERR2623286
SAMEA4718148	ERS2538294	ERR2623287
SAMEA4718149	ERS2538295	ERR2623288
SAMEA4718150	ERS2538296	ERR2623289
SAMEA4718151	ERS2538297	ERR2623290
SAMEA4718152	ERS2538298	ERR2623291
SAMEA4718153	ERS2538299	ERR2623292
SAMEA4718154	ERS2538300	ERR2623293
SAMEA4718155	ERS2538301	ERR2623294
SAMEA4718156	ERS2538302	ERR2623295
SAMEA4718157	ERS2538303	ERR2623296
SAMEA4718158	ERS2538304	ERR2623297
SAMEA4718159	ERS2538305	ERR2623298
SAMEA4718160	ERS2538306	ERR2623299
SAMEA4718161	ERS2538307	ERR2623300
SAMEA4718162	ERS2538308	ERR2623301
SAMEA4718163	ERS2538309	ERR2623302
